package_code,procedure_name,tier3_cost,tier2_cost,tier1_cost,category,private_tier1,private_tier2,private_tier3,private_metro
MC022,follow up -Cardiology,0.0,0.0,0.0,MC,0,0,0,0
MC022,follow up -Cardiology,4400.0,5000.0,5000.0,MC,16000,16000,14080,20000
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000,8000,7040,10000
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000,8000,7040,10000
MC022,follow up -Cardiology,2200.0,2500.0,2500.0,MC,8000,8000,7040,10000
MG037,Cardiac Tamponade,0.0,0.0,0.0,MG,0,0,0,0
MG031,Endocarditis,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG031,Endocarditis,0.0,0.0,0.0,MG,0,0,0,0
MG036,Atrial Fibrillation,0.0,0.0,0.0,MG,0,0,0,0
MG038,"Congestive heart
failure",0.0,0.0,0.0,MG,0,0,0,0
MG075,"High end radiological
diagnostic
(CT, MRI, Imaging
including nuclear
imaging)",5000.0,5800.0,5800.0,MG,18560,18560,16000,23200
MG076,"High end
histopathology
(Biopsies) and
advanced serology
investigations",5000.0,5800.0,5800.0,MG,18560,18560,16000,23200
MG098,PET scan,0.0,0.0,0.0,MG,0,0,0,0
MG001,Acute febrile illness,0.0,0.0,0.0,MG,0,0,0,0
MG002,Severe sepsis,0.0,0.0,0.0,MG,0,0,0,0
MG002,Severe sepsis,0.0,0.0,0.0,MG,0,0,0,0
MG003,Malaria,0.0,0.0,0.0,MG,0,0,0,0
MG003,Malaria,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG004,Dengue fever,0.0,0.0,0.0,MG,0,0,0,0
MG004,Dengue fever,0.0,0.0,0.0,MG,0,0,0,0
MG004,Dengue fever,0.0,0.0,0.0,MG,0,0,0,0
MG005,Chikungunya fever,0.0,0.0,0.0,MG,0,0,0,0
MG006,Enteric fever,0.0,0.0,0.0,MG,0,0,0,0
MG007,HIV with complications,0.0,0.0,0.0,MG,0,0,0,0
MG008,Leptospirosis,0.0,0.0,0.0,MG,0,0,0,0
MG009,"Acute gastroenteritis
with dehydration",0.0,0.0,0.0,MG,0,0,0,0
MG009,"Acute gastroenteritis
with dehydration",0.0,0.0,0.0,MG,0,0,0,0
MG010,"Chronic PD catheter
Insertion",4100.0,4700.0,4700.0,MG,15040,15040,13120,18800
MG0101,"Acute severe
ulcerative colitis",0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG0102,Mesenteric Ischemia,0.0,0.0,0.0,MG,0,0,0,0
MG0103,Intestinal obstruction,0.0,0.0,0.0,MG,0,0,0,0
MG0104,"Acute necrotizing
severe pancreatitis",0.0,0.0,0.0,MG,0,0,0,0
MG0105,"Pulmonary
Thromboembolism (
Including thrombolytic
Therapy)",25000.0,28800.0,28800.0,MG,92160,92160,80000,115200
MG0106,"Diffuse alveolar
Hemorrhage
Associated with
SLE/Vasculitis/GP
Syndrome",136000.0,156400.0,156400.0,MG,500480,500480,435200,625600
MG0107,"Severe/Refractory
Vasculitis",75000.0,86300.0,86300.0,MG,276160,276160,240000,345200
MG0108,"Acute liver
failure/Fulminant
Hepatitis",50000.0,57500.0,57500.0,MG,184000,184000,160000,230000
MG0109,"Pulmonary
thromboembolism",0.0,0.0,0.0,MG,0,0,0,0
MG010,Diarrohea,0.0,0.0,0.0,MG,0,0,0,0
MG010,Diarrohea,0.0,0.0,0.0,MG,0,0,0,0
MG0110,Acute liver failure,0.0,0.0,0.0,MG,0,0,0,0
MG0111,Pleural Effusion,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG0112,Hyberbilirubinemia,0.0,0.0,0.0,MG,0,0,0,0
MG0113,Polytrauma,0.0,0.0,0.0,MG,0,0,0,0
MG0113,"Trauma-
FacioMaxillary",0.0,0.0,0.0,MG,0,0,0,0
MG0113,Trauma Head injury,0.0,0.0,0.0,MG,0,0,0,0
MG0113,"Trauma Rib fracture
conservative",0.0,0.0,0.0,MG,0,0,0,0
MG0113,"Trauma Blunt injury
conservative",0.0,0.0,0.0,MG,0,0,0,0
MG0113,"Trauma Contusion
chest injury",0.0,0.0,0.0,MG,0,0,0,0
MG0114,"Oesophageal Varices
Banding",0.0,0.0,0.0,MG,0,0,0,0
MG0115,"Inflammatory
Myopathy/
Myaesthenic Crisis",0.0,0.0,0.0,MG,0,0,0,0
MG0116,"Guillain Barre
syndrome",0.0,0.0,0.0,MG,0,0,0,0
MG0116,"Myasthenic crisis
(Plasmapheresis)",0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG0117,"Moyamoya
revascularization",0.0,0.0,0.0,MG,0,0,0,0
MG0118,"Evaluation of drug
resistant epilepsy-
Phase-1",0.0,0.0,0.0,MG,0,0,0,0
MG0119,Drug resistant epilepsy,0.0,0.0,0.0,MG,0,0,0,0
MG011,Dysentery,0.0,0.0,0.0,MG,0,0,0,0
MG0120,"Medical/ neuro
rehablitation",25000.0,28800.0,28800.0,MG,92160,92160,80000,115200
MG0120,"Medical/ neuro
rehablitation",35000.0,40300.0,40300.0,MG,128960,128960,112000,161200
MG0120,"Medical/ neuro
rehablitation",15000.0,17300.0,17300.0,MG,55360,55360,48000,69200
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920,25920,22400,32400
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920,25920,22400,32400
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920,25920,22400,32400
MG0120,"Medical/ neuro
rehablitation",7000.0,8100.0,8100.0,MG,25920,25920,22400,32400
,,,,,,,,,
MG012,Acute viral hepatitis,0.0,0.0,0.0,MG,0,0,0,0
MG013,Chronic Hepatitis,0.0,0.0,0.0,MG,0,0,0,0
MG014,Liver abscess,0.0,0.0,0.0,MG,0,0,0,0
MG015,Visceral leishmaniasis,0.0,0.0,0.0,MG,0,0,0,0
MG016,Pneumonia,0.0,0.0,0.0,MG,0,0,0,0
MG017,Severe pneumonia,0.0,0.0,0.0,MG,0,0,0,0
MG018,Empyema,0.0,0.0,0.0,MG,0,0,0,0
MG019,Lung abscess,0.0,0.0,0.0,MG,0,0,0,0
MG020,"Pericardial
tuberculosis",0.0,0.0,0.0,MG,0,0,0,0
MG020,Pleural tuberculosis,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG021,Urinary Tract Infection,0.0,0.0,0.0,MG,0,0,0,0
MG022,Viral Encephalitis,0.0,0.0,0.0,MG,0,0,0,0
MG023,Septic Arthritis,0.0,0.0,0.0,MG,0,0,0,0
MG024,"Skin and soft tissue
infections",0.0,0.0,0.0,MG,0,0,0,0
MG025,"Recurrent vomiting
with dehydration",0.0,0.0,0.0,MG,0,0,0,0
MG026,"Pyrexia of unknown
origin",0.0,0.0,0.0,MG,0,0,0,0
MG027,Bronchiectasis,0.0,0.0,0.0,MG,0,0,0,0
MG028,Acute bronchitis,0.0,0.0,0.0,MG,0,0,0,0
MG029,"Acute excaberation of
COPD",0.0,0.0,0.0,MG,0,0,0,0
MG030,"Acute excaberation of
Interstitial Lung
Disease",0.0,0.0,0.0,MG,0,0,0,0
MG031,Endocarditis,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG031,Endocarditis,0.0,0.0,0.0,MG,0,0,0,0
MG032,Vasculitis,0.0,0.0,0.0,MG,0,0,0,0
MG033,Pancreatitis,0.0,0.0,0.0,MG,0,0,0,0
MG033,Pancreatitis,0.0,0.0,0.0,MG,0,0,0,0
MG034,Ascites,0.0,0.0,0.0,MG,0,0,0,0
MG035,"Acute transverse
myelitis",0.0,0.0,0.0,MG,0,0,0,0
MG036,Atrial Fibrillation,0.0,0.0,0.0,MG,0,0,0,0
MG037,Cardiac Tamponade,0.0,0.0,0.0,MG,0,0,0,0
MG038,"Congestive heart
failure",0.0,0.0,0.0,MG,0,0,0,0
MG039,Asthma,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG039,Asthma,0.0,0.0,0.0,MG,0,0,0,0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0,0,0,0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0,0,0,0
MG040,Respiratory failure,0.0,0.0,0.0,MG,0,0,0,0
MG041,Upper GI bleeding,0.0,0.0,0.0,MG,0,0,0,0
MG041,Upper GI bleeding,0.0,0.0,0.0,MG,0,0,0,0
MG042,Lower GI hemorrhage,0.0,0.0,0.0,MG,0,0,0,0
MG043,Addison’s disease,0.0,0.0,0.0,MG,0,0,0,0
MG044,Renal colic,0.0,0.0,0.0,MG,0,0,0,0
MG045,AKI / Renal failure,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG047,"Pediatric seizure
disorders",0.0,0.0,0.0,MG,0,0,0,0
MG049,Acute ischemic stroke,0.0,0.0,0.0,MG,0,0,0,0
MG049,"Acute hemorrhagic
stroke",0.0,0.0,0.0,MG,0,0,0,0
MG050,"Immune mediated
CNS disorders",0.0,0.0,0.0,MG,0,0,0,0
MG051,Hydrocephalus,0.0,0.0,0.0,MG,0,0,0,0
MG052,Myxedema coma,0.0,0.0,0.0,MG,0,0,0,0
MG053,Thyrotoxic crisis,0.0,0.0,0.0,MG,0,0,0,0
MG054,Gout,0.0,0.0,0.0,MG,0,0,0,0
MG055,Pneumothorax,0.0,0.0,0.0,MG,0,0,0,0
MG056,"Neuromuscular
Disorders",0.0,0.0,0.0,MG,0,0,0,0
MG057,Hypoglycemia,0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG058,Diabetic Foot,0.0,0.0,0.0,MG,0,0,0,0
MG059,Diabetic ketoacidosis,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG060,Electrolyte Imbalance,0.0,0.0,0.0,MG,0,0,0,0
MG061,"Hyperosmolar Non-
Ketotic coma",0.0,0.0,0.0,MG,0,0,0,0
MG062,"Accelerated
hypertension",0.0,0.0,0.0,MG,0,0,0,0
MG063,"Hypertensive
emergencies",0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG064,Severe anemia,0.0,0.0,0.0,MG,0,0,0,0
MG065,Sickle cell Anemia,0.0,0.0,0.0,MG,0,0,0,0
MG066,Anaphylaxis,0.0,0.0,0.0,MG,0,0,0,0
MG067,Heat stroke,0.0,0.0,0.0,MG,0,0,0,0
MG068,"Systematic lupus
erythematosus",0.0,0.0,0.0,MG,0,0,0,0
MG069,"Guillain Barre
syndrome",0.0,0.0,0.0,MG,0,0,0,0
MG070,Snake bite,0.0,0.0,0.0,MG,0,0,0,0
MG071,Poisoning,0.0,0.0,0.0,MG,0,0,0,0
MG071,Poisoning,0.0,0.0,0.0,MG,0,0,0,0
MG072,"Haemodialysis /
Peritoneal Dialysis",500.0,700.0,875.0,MG,2800,2240,1600,3500
MG072,"Haemodialysis /
Peritoneal Dialysis",1500.0,1800.0,1800.0,MG,5760,5760,4800,7200
MG072,"Haemodialysis /
Peritoneal Dialysis",1500.0,1800.0,1800.0,MG,5760,5760,4800,7200
,,,,,,,,,
MG073,Plasmapheresis,2000.0,2300.0,2300.0,MG,7360,7360,6400,9200
MG074,Blood transfusion,2000.0,2300.0,2300.0,MG,7360,7360,6400,9200
MG074,Blood transfusion,2000.0,2300.0,2300.0,MG,7360,7360,6400,9200
MG075,"High end radiological
diagnostic
(CT, MRI, Imaging
including nuclear
imaging)",5000.0,5800.0,5800.0,MG,18560,18560,16000,23200
MG076,"High end
histopathology
(Biopsies) and
advanced serology
investigations",5000.0,5800.0,5800.0,MG,18560,18560,16000,23200
MG077,"Continuous renal
replacement
therapy/Continuous
veno-venous
hemofiltration",33000.0,37500.0,45000.0,MG,144000,120000,105600,180000
MG078,"Alcoholic Liver
Disease",0.0,0.0,0.0,MG,0,0,0,0
MG079,"Peripheral Arterial
Thrombosis",0.0,0.0,0.0,MG,0,0,0,0
MG081,"IHD / CAD /
Arrhythmia",0.0,0.0,0.0,MG,0,0,0,0
MG081,"IHD / CAD /
Arrhythmia",0.0,0.0,0.0,MG,0,0,0,0
MG082,"Bone marrow
aspiration of biopsy",1200.0,1600.0,1600.0,MG,5120,5120,3840,6400
MG083,Lumbar puncture,100.0,200.0,200.0,MG,640,640,320,800
,,,,,,,,,
MG084,Joint Aspiration,200.0,300.0,300.0,MG,960,960,640,1200
MG085,"DVT Pneumatic
Compression
Stockings (Add on
package in ICU)",900.0,1100.0,1200.0,MG,3840,3520,2880,4800
MG086,Acute Ischemic Stoke,0.0,0.0,0.0,MG,0,0,0,0
MG086,"Acute ischemic stroke-
intravenous
thrombolysis",0.0,0.0,0.0,MG,0,0,0,0
MG086,"Acute ischemic stroke-
Intravenous
thrombolysis",0.0,0.0,0.0,MG,0,0,0,0
MG087,"Venous sinus
thrombosis",0.0,0.0,0.0,MG,0,0,0,0
MG088,Pyogenic Meningitis,0.0,0.0,0.0,MG,0,0,0,0
MG089,Fungal Meningitis,0.0,0.0,0.0,MG,0,0,0,0
MG090,"Autoimmune
encephalitis",0.0,0.0,0.0,MG,0,0,0,0
MG090,"Autoimmune
encephalitis (IVIG)",0.0,0.0,0.0,MG,0,0,0,0
MG090,"Acute transverse
myelitis/ Acute
demyelinating
encephalitis",0.0,0.0,0.0,MG,0,0,0,0
,,,,,,,,,
MG091,"Acute hemorrhagic
stroke- Hematoma
evacuation",0.0,0.0,0.0,MG,0,0,0,0
MG091,"Acute hemorrhagic
stroke- (Extra
ventricular drainage)",0.0,0.0,0.0,MG,0,0,0,0
MG092,"Myasthenic crisis
(IVIG)",0.0,0.0,0.0,MG,0,0,0,0
MG093,"Myasthenic crisis
(Plasmapheresis)",0.0,0.0,0.0,MG,0,0,0,0
MG094,"Tuberculous
meningitis
(Hydrocephalus – VP
SHUNT/ EVD/Omaya)",0.0,0.0,0.0,MG,0,0,0,0
MG095,Cholangitis,0.0,0.0,0.0,MG,0,0,0,0
MG096,Intercostal drainage,0.0,0.0,0.0,MG,0,0,0,0
MG096,"Fibreoptic
bronchoscopy (FOB)",0.0,0.0,0.0,MG,0,0,0,0
MG097,"Endobronchial
Ultrasound (EBUS)",15700.0,18000.0,18000.0,MG,57600,57600,50240,72000
MG098,PET scan,0.0,0.0,0.0,MG,0,0,0,0
MG099,Platelet pheresis,11000.0,12700.0,12700.0,MG,40640,40640,35200,50800
,,,,,,,,,
MP001,"Pediatric seizure
disorders",0.0,0.0,0.0,MP,0,0,0,0
MP003,"ACUTE
ENCEPHALOPATHY",0.0,0.0,0.0,MP,0,0,0,0
MP003,"ACUTE
ENCEPHALOPATHY",0.0,0.0,0.0,MP,0,0,0,0
MP004,"ACUTE
ENCEPHALOPATHY",0.0,0.0,0.0,MP,0,0,0,0
MP005,"ACUTE INFECTIOUS
MENINGITIS AND
MENINGOENCEPHA
LITIS.",0.0,0.0,0.0,MP,0,0,0,0
MP005,"ACUTE INFECTIOUS
MENINGITIS AND
MENINGOENCEPHA
LITIS.",0.0,0.0,0.0,MP,0,0,0,0
MP005,"ACUTE INFECTIOUS
MENINGITIS AND
MENINGOENCEPHA
LITIS.",0.0,0.0,0.0,MP,0,0,0,0
MP005,"ACUTE INFECTIOUS
MENINGITIS AND
MENINGOENCEPHA
LITIS.",0.0,0.0,0.0,MP,0,0,0,0
MP006,Meningitis,0.0,0.0,0.0,MP,0,0,0,0
MP006,Meningitis,0.0,0.0,0.0,MP,0,0,0,0
MP006,Meningitis,0.0,0.0,0.0,MP,0,0,0,0
,,,,,,,,,
MP006,Meningitis,0.0,0.0,0.0,MP,0,0,0,0
MP008,"Medical Management
for Raised intracranial
pressure",0.0,0.0,0.0,MP,0,0,0,0
MP011,"INTRACRANIAL
SPACE OCCUPYING
LESIONS",0.0,0.0,0.0,MP,0,0,0,0
MP015,Juvenile myasthenia,0.0,0.0,0.0,MP,0,0,0,0
MP018,"Acute childhood
asthma",0.0,0.0,0.0,MP,0,0,0,0
MP020,"Acute urticaria /
Anaphylaxis",0.0,0.0,0.0,MP,0,0,0,0
MP021,Acute abdomen,0.0,0.0,0.0,MP,0,0,0,0
MP023,"Unexplained
hepatosplenomegaly",0.0,0.0,0.0,MP,0,0,0,0
MP024,"Neonatal/ Infantile
cholestasis",0.0,0.0,0.0,MP,0,0,0,0
MP026,"NEPHROTIC
SYNDROME",0.0,0.0,0.0,MP,0,0,0,0
