Specialty,"Specialty
Code
HBP 2022","Package
Code
HBP 2022","AB PMJAY Package
Name","Procedure code
HBP 2022",Procedure Name 2022,Tier3 (Z),Tier2 (Y),Tier1 (X),Implant mapped.,implant cost,"Stratification
remarks",,,,,,,,,,,,,,,,,,
"Orthopedics,
Emergency
Room
Packages",ER,SB001,"Fracture -
Conservative
Management -
Without plaster",SB001A,"Fracture - Conservative
Management -
Without plaster",2300,2600,2900,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Urology,
Pediatric
Surgery,
Emergency",ER,SU073,"Emergency
management of
Hematuria",SU073A,"Emergency management
of Hematuria(per day)
LOS-1-5 days",2700,3000,3200,NA,NA,Routine Ward - 2700,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD001,Lymphangiography,HD001A,Lymphangiography,10920,10920,10920,"Lipidol and
needle",18000,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD002,"Diagnostic venography
(DVA)",HD002A,"Diagnostic venography
(DVA)",5520,5520,5520,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD003,"IVUS(Intravascular
Ultrasound)-
peripheral vessels",HD003A,"IVUS(Intravascular
Ultrasound)- peripheral
vessels",16560,16560,16560,IVUS Catheter,Upto 48000,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD004,Diskography,HD004A,Diskography,5520,5520,5520,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD005,"USG guided
percutaneous biopsy",HD005A,"USG guided percutaneous
biopsy",2520,2520,2520,Biopsy Gun,3000,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD006,"USG guided
percutaneous FNAC",HD006A,"USG guided percutaneous
FNAC",720,720,720,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD007,"USG guided
percutaneous needle
aspiration",HD007A,"USG guided percutaneous
needle aspiration",720,720,720,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD008,"CT guided
percutaneous biopsy",HD008A,"CT guided percutaneous
biopsy",3720,3720,3720,Biopsy Gun,3000,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD009,"CT guided
percutaneous FNAC",HD009A,"CT guided percutaneous
FNAC",3120,3120,3120,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD010,"CT guided
percutaneous needle
aspiration",HD010A,"CT guided percutaneous
needle aspiration",3120,3120,3120,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD011,Genetic workup,HD011A,Genetic workup,20000,20000,20000,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD012,Metabolic work up,HD012A,Metabolic work up,30000,30000,30000,,,NA,,,,,,,,,,,,,,,,,,
"High end
Diagnostics",HD,HD013,"Vedio EEG Monitoring
Test (VEEG)",HD013A,"Vedio EEG Monitoring
Test (VEEG)",3600,3600,3600,,,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM001,"Recombinant tissue
plasminogen activator",HM001A,"Recombinant tissue
plasminogen activator- 0.9
mg/kg (not to exceed 90
mg total treatment dose)
infused over 60 minutes.",42000,42000,42000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM002,Tenecteplase,HM002A,"Tenecteplase - 0.2 mg/kg
given as a bolus dose
over 1-2min volume of
TNK to be administered at
a dilution of 2mg/ml",24900,24900,24900,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM003,Heparin,HM003A,"Heparin - Based on weight
and age of patient",15000,15000,15000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM004,Methylprednisolone,HM004A,"Methylprednisolone -
0.117-1.66 mg/kg/day
orally divided every 6-8
hours",25000,25000,25000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM005,Erythropoeitin,HM005A,"Erythropoeitin - 5000 units-
Rs700
10000 units-Rs1000",0,0,0,NA,NA,"5000 units-Rs700
10000 units-Rs1000",,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM006,"Liposomal
amphotericin",HM006A,"Liposomal amphotericin -
for 2.5 Gm dosage. @
2500 per 50mg",125000,125000,125000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM007,IVIG,HM007A,"IVIG - 3000 per GM @ 2
GM/Per Kg body weight.
Almost 20 GM in adult
dose.( Mx. Of 200000 ,
paid on actual utilization)",200000,200000,200000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM008,"IvIg for Kawasaki
Disease",HM008A,"IvIg for Kawasaki Disease -
0.4 gm/Kg body wt/day (
price per gram)",2000,2000,2000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM009,IvIg for GB Syndrome,HM009A,"IvIg for GB Syndrome -
2gm /Kg body weight (
price per gram)",2000,2000,2000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM010,IvIg for ITP,HM010A,"IvIg for ITP - 1gm /Kg
body weight (
price per gram)",2000,2000,2000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM011,Rituximab,HM011A,"Rituximab - 500mg to 1
gm ( Price per
500mg/50ml box)",7500,7500,7500,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM012,Human Albumin 20%,HM012A,"Human Albumin 20% -
250-500ml (Price per
100ml infusion)",6000,6000,6000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM013,Albumin 5%,HM013A,"Albumin 5% - 250-500ml
(Price per 100ml infusion)",3000,3000,3000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM017,Imipenem,HM017A,"Imipenem - 1gm147.57. 3
gm per day dose",7000,7000,7000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM018,Meropenem,HM018A,"Meropenem - 1gm 159.93.
3 gm Per day dose",7000,7000,7000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM019,"Piperacillin-
Tazobactem",HM019A,"Piperacillin-Tazobactem -
4.5gm 66.52. 4.5gm TDS
per day dose",3000,3000,3000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM020,Colistin,HM020A,"Colistin - 1 MU 73.92.
Dose 9 MU",7000,7000,7000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM021,Vancomycin,HM021A,"Vancomycin - 500mg
45.15. 2gm per day dose.",2100,2100,2100,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
Medicine",HM,HM022,"Amphotericin
deoxycholate",HM022A,"Amphotericin
deoxycholate - 50mg
121.06.",1000,1000,1000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP001,"USG guided
percutaneous
Radiofrequency
Ablation (RFA)",HP001A,"USG guided percutaneous
Radiofrequency Ablation
(RFA)",26640,26640,26640,"RF probe for
tumor ablation",75000,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP002,"USG guided
percutaneous
Microwave Ablation
(MWA)",HP002A,"USG guided percutaneous
Microwave Ablation
(MWA)",30640,30640,30640,"Microwave
Antenna",95000,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP003,"CT guided
percutaneous
Radiofrequency
Ablation (RFA)",HP003A,"CT guided percutaneous
Radiofrequency Ablation
(RFA)",29040,29040,29040,"RF probe for
tiomr ablation",75000,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP004,"CT guided
percutaneous
Microwave Ablation
(MWA)",HP004A,"CT guided percutaneous
Microwave Ablation
(MWA)",33040,33040,33040,"Microwave
Antenna",95000,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP005,"USG guided
percutaneous catheter
drainage",HP005A,"USG guided percutaneous
catheter drainage",5820,5820,5820,"Pig tail drainage
Catheter",1500,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP006,"CT guided
percutaneous catheter
drainage",HP006A,"CT guided percutaneous
catheter drainage",5820,5820,5820,"Pig tail drainage
Catheter",1500,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP007,"Cerebral angiogram
under local anesthesia",HP007A,"Cerebral angiogram under
local anesthesia",5800,5800,5800,,,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP008,"Cerebral angiogram
under general
anesthesia",HP008A,"Cerebral angiogram under
general anesthesia",18900,18900,18900,,,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP009,"Spinal Angiogram
under general
anesthesia",HP009A,"Spinal Angiogram under
general anesthesia",18900,18900,18900,,,NA,,,,,,,,,,,,,,,,,,
"High end
procedures",HP,HP010,Plasmapheresis,HP010A,Plasmapheresis,70000,70000,70000,,,NA,,,,,,,,,,,,,,,,,,
"Infectious
Diseases,
General
Medicine",ID,ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",ID001A,"Screening Test for COVID-
19 Infection",1500,1500,1500,NA,NA,"All hospitalized
patients with Severe
Acute Respiratory
Illness",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Infectious
Diseases,
General
Medicine",ID,ID001,"Laboratory Tests for
COVID-19 Infection
(PCR)
(Reimbursement level
for this package will be
as per the ICMR
guidelines, issued
from time to time)",ID001B,"Test for Confirmation of
COVID-19 Infection",3000,3000,3000,NA,NA,"(Fever and cough
and / or shortness of
breath)",,,,,,,,,,,,,,,,,,
"Infectious
Diseases,
General
Medicine",ID,ID003,"Treatment of COVID-
19 Infection",ID003A,"Treatment of COVID-19
Infection",0,0,0,NA,NA,"Routine Ward -
2300HDU - 3630
ICU (without
Ventilator) - 9350
ICU (with Ventilator) -
9900",,,,,,,,,,,,,,,,,,
"Infectious
Diseases,
General
Medicine",ID,ID005,"Treatment of systemic
fungal infections",ID005A,"Treatment of systemic
fungal infections",0,0,0,NA,NA,"Routine Ward -
2300HDU - 3630
ICU (without
Ventilator) - 9350
ICU (with Ventilator) -
9900",,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",IN,MC002,"Catheter directed
Thrombolysis",MC002A,"For Deep vein thrombosis
(DVT)",38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",IN,MC002,"Catheter directed
Thrombolysis",MC002B,"For Mesenteric
Thrombosis",38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",IN,MC002,"Catheter directed
Thrombolysis",MC002C,For Peripheral vessels,38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"General
Medicine,
Nephrology-
Interventional",IN,MG010,"Chronic PD catheter
Insertion",MG0100A,"Chronic PD catheter
Insertion",4100,4700,4700,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Interventional
radialogy,
General
Medicine/pain
specialists",IN,MG082,"Bone marrow
aspiration of biopsy",MG082A,"Bone marrow aspiration of
biopsy",1200,1600,1600,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Interventional
radialogy,
General
Medicine/ Pain
specialists",IN,MG083,Lumbar puncture,MG083A,Lumbar puncture,100,200,200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Interventional
radialogy,
General
Medicine/pain
specialists",IN,MG084,Joint Aspiration,MG084A,Joint Aspiration,200,300,300,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Interventional
radialogy,
General
Medicine",IN,MG085,"DVT Pneumatic
Compression
Stockings (Add on
package in ICU)",MG085A,"DVT Pneumatic
Compression Stockings
(Add on package in ICU)",900,1100,1200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"General
Medicine,
Pulmonology
interventional",IN,MG097,"Endobronchial
Ultrasound (EBUS)",MG097A,"Endobronchial Ultrasound
guided fine needle biopsy",15700,18000,18000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Urology,
Pediatric
Surgery,
Interventional
Neuroradiology",IN,SU008,"Nephrostomy -
Percutaneous
ultrasound guided",SU008A,"Nephrostomy -
Percutaneous ultrasound
guided",18800,21300,22500,NA,NA,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC001,"Right / Left Heart
Catheterization",MC001A,"Right Heart
Catheterization",12500,14200,15000,NA,NA,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC001,"Right / Left Heart
Catheterization",MC001B,Left Heart Catheterization,12500,14200,15000,NA,NA,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",MC,MC002,"Catheter directed
Thrombolysis",MC002A,"For Deep vein thrombosis
(DVT)",38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",MC,MC002,"Catheter directed
Thrombolysis",MC002B,"For Mesenteric
Thrombosis",38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
Interventional
Radiology",MC,MC002,"Catheter directed
Thrombolysis",MC002C,For Peripheral vessels,38500,43800,46200,NA,NA,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC003,Balloon Dilatation,MC003A,Coarctation of Aorta,48300,54900,57900,"Cardiac Balloon -
Adult - 14000
Cardiac Balloon -
Pediatric - 33000","Adult ballon -14000
pediatric 33000",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC003,Balloon Dilatation,MC003B,Pulmonary Artery Stenosis,48300,54900,57900,"Cardiac Balloon -
Adult - 14000
Cardiac Balloon -
Pediatric - 33000","Adult ballon -14000
pediatric 33000",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC004,"Balloon Pulmonary /
Aortic Valvotomy",MC004A,"Balloon Pulmonary
Valvotomy",29300,33300,35100,"Cardiac Balloon -
Adult - 14000
Cardiac Balloon -
Pediatric - 33000","Adult ballon -14000
pediatric 33000",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC004,"Balloon Pulmonary /
Aortic Valvotomy",MC004B,Balloon Aortic Valvotomy,29300,33300,35100,"Cardiac Balloon -
Adult - 14000
Cardiac Balloon -
Pediatric - 33000","Adult ballon -14000
pediatric 33000",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC005,"Balloon Mitral
Valvotomy",MC005A,Balloon Mitral Valvotomy,44700,50700,53600,"Balloon &
Accessories -
55000",55000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC006,"Balloon Atrial
Septostomy",MC006A,Balloon Atrial Septostomy,30500,34700,36600,"Balloon &
Accessories -
55000",55000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC007,ASD Device Closure,MC007A,ASD Device Closure,46200,52400,55400,"ASD Device -
62000",62000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC008,VSD Device Closure,MC008A,VSD Device Closure,47400,53900,56900,"VSD Device -
72000",72000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC009,PDA Device Closure,MC009A,PDA Device Closure,40800,46300,48900,"PDA Device -
30000",30000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC010,PDA stenting,MC010A,PDA stenting,50400,57200,60400,"Coronary Stent
for PDA stenting -
Bare Metal -
9373+GST
Coronary Stent
for PDA stenting -
Drug Eluting -
34128+GST","Baremetal -9373
+469 GST
Drug Eluting-
34128+1706 GST",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC011,"PTCA, inclusive of
diagnostic angiogram",MC011A,"PTCA, inclusive of
diagnostic angiogram",50800,57700,60900,"Coronary Stent
for PDA stenting -
Bare Metal -
9373+GST
Coronary Stent
for PDA stenting -
Drug Eluting -
34128+GST","Baremetal -9373
+469 GST
Drug Eluting-
34128+1706 GST",NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC012,"Electrophysiological
Study",MC012A,Electrophysiological Study,34700,39400,41600,"Steerable
decapolar
catheter,
Quadripolar
Catheter - 46000",46000,NA,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC012,"Electrophysiological
Study",MC012B,"Electrophysiological Study
with Radio Frequency
Ablation",34700,39400,41600,"Steerable
decapolar
catheter,
Quadripolar
Catheter, Radio
Frequency
Catheter - 76000",76000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC013,"Percutaneous
Transluminal Septal
Myocardial Ablation",MC013A,"Percutaneous
Transluminal Septal
Myocardial Ablation",42500,48300,51000,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
CTVS",MC,MC014,"Temporary Pacemaker
implantation",MC014A,"Temporary Pacemaker
implantation",24000,27300,28800,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
CTVS",MC,MC015,"Single Chamber
Permanent
Pacemaker
Implantation",MC015A,"Permanent Pacemaker
Implantation -
Single Chamber",30700,34800,36800,"Single Chamber
Pacemaker -
45000",45000,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
CTVS",MC,MC016,"Double Chamber
Permanent
Pacemaker
Implantation",MC016A,"Permanent Pacemaker
Implantation -
Double Chamber",41300,46900,49500,"Double Chamber
Pacemaker -
75000",75000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC017,Peripheral Angioplasty,MC017A,Peripheral Angioplasty,43200,49000,51800,"Peripheral Stent -
Bare Metal -
21000",21000,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC018,"Bronchial artery
Embolisation
(for Haemoptysis)",MC018A,"Bronchial artery
Embolisation
(for Haemoptysis)",41000,46600,49200,NA,NA,NA,,,,,,,,,,,,,,,,,,
"Cardiology,
General
Surgery",MC,MC019,Pericardiocentesis,MC019A,Pericardiocentesis,15200,17200,18200,NA,NA,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC020,"Systemic
Thrombolysis (for MI)",MC020A,"Systemic Thrombolysis
(for MI)",22400,25500,26900,NA,NA,NA,,,,,,,,,,,,,,,,,,
Cardiology,MC,MC021,Embolization,MC021A,"Arteriovenous
Malformation (AVM) in the
Limbs",50800,57700,60900,yes,NA,NA,,,,,,,,,,,,,,,,,,
